Username,Display Name,Description,Profile Image URL
elonmusk,Elon Musk,The people voted for major government reform,https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg
jordanbpeterson,Dr Jordan B Peterson,"Best-Selling Author | Clinical Psychologist | #1 Education Podcast | Order my new book ""We Who Wrestle With God"" here:",https://pbs.twimg.com/profile_images/1407056014776614923/TKBC60e1_normal.jpg
DonaldJTrumpJr,Donald Trump Jr.,,https://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_normal.jpg
TheBabylonBee,The Babylon Bee,"Fake news you can trust.
The Babylon Bee Guide To The Apocalypse— now available!",https://pbs.twimg.com/profile_images/1400100770624720898/-HC7kL5x_normal.jpg
Jim_Jordan,Rep. Jim Jordan,"Proudly serving Ohio's beautiful Fourth District. Chairman @JudiciaryGOP, @Weaponization. Fighting to #DoWhatWeSaid",https://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg
lexfridman,Lex Fridman,"Host of Lex Fridman Podcast.
Interested in robots and humans.",https://pbs.twimg.com/profile_images/1854713863817646088/nTmsz7jR_normal.jpg
